 lat lon pizza_parallel pizza_production_minutes shoarma_parallel shoarma_production_minutes burger_parallel burger_production_minutes fries_parallel fries_production_minutes snack_parallel snack_production_minutes french_parallel french_production_minutes spanish_parallel spanish_production_minutes italian_parallel italian_production_minutes greek_parallel greek_production_minutes german_parallel german_production_minutes african_parallel african_production_minutes mexican_parallel mexican_production_minutes argentine_parallel argentine_production_minutes indian_parallel indian_production_minutes chinese_parallel chinese_production_minutes sushi_parallel sushi_production_minutes luxe_parallel luxe_production_minutes mon_open mon_close tue_open tue_close wed_open wed_close thu_open thu_close fri_open fri_close sat_open sat_close sun_open sun_close
10 48.828431 2.309284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 18 9 24 0 0 0 0 0 0 0 0 00:00 00:00 12:00 21:00 12:00 21:00 12:00 21:00 12:00 23:00 09:00 23:00 11:00 22:00
11 48.840346 2.359412 10 6 0 0 0 0 0 0 1 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 09:00 01:00 09:00 00:00
12 48.851629 2.344985 5 9 0 0 0 0 0 0 2 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 08:00 01:00 09:00 00:00
13 48.859373 2.361931 0 0 0 0 0 0 3 6 0 0 0 0 0 0 0 0 7 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12:00 21:00 12:00 21:00 12:00 21:00 12:00 21:00 12:00 22:00 11:00 23:00 11:00 23:00
14 48.845593 2.386010 0 0 0 0 0 0 3 9 0 0 6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14:00 23:00 14:00 23:00 14:00 23:00 14:00 23:00 12:00 23:00 10:00 23:00 10:00 22:00
15 48.847869 2.327529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 12 7 35 0 0 0 0 0 0 0 0 13:00 21:00 13:00 21:00 13:00 21:00 13:00 21:00 12:00 23:00 09:00 23:00 12:00 21:00
16 48.876266 2.361942 2 12 0 0 6 16 6 6 0 0 5 15 0 0 6 16 0 0 5 13 0 0 0 0 0 0 0 0 0 0 0 0 6 33 00:00 00:00 00:00 00:00 13:00 23:00 13:00 23:00 12:00 23:00 12:00 00:00 12:00 22:00
17 48.896416 2.323344 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 14 9 30 0 0 0 0 0 0 0 0 12:00 21:00 12:00 21:00 12:00 21:00 12:00 21:00 12:00 22:00 11:00 23:00 11:00 23:00
18 48.893493 2.347233 1 13 0 0 2 6 10 5 14 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12:00 00:00 12:00 00:00 12:00 00:00 12:00 00:00 12:00 00:00 08:00 00:00 08:00 23:00
19 48.859301 2.305783 3 12 1 6 5 9 8 5 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 01:00 13:00 01:00 13:00 01:00 13:00 01:00 13:00 01:00 09:00 01:00 09:00 00:00
20 48.877809 2.333440 12 9 0 0 0 0 0 0 2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12:00 01:00 12:00 01:00 12:00 01:00 12:00 01:00 12:00 01:00 08:00 01:00 09:00 22:00
21 48.841966 2.325587 2 14 0 0 6 12 6 6 0 0 6 20 0 0 2 21 0 0 6 14 0 0 0 0 0 0 0 0 0 0 0 0 6 43 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 13:00 23:00 12:00 00:00 12:00 22:00
22 48.839301 2.307180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 16 0 0 0 0 0 0 0 0 0 0 6 30 14:00 23:00 14:00 23:00 14:00 23:00 14:00 23:00 11:00 23:00 09:00 23:00 12:00 22:00
23 48.880881 2.293319 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 20 7 18 3 6 0 0 00:00 00:00 00:00 00:00 12:00 23:00 12:00 23:00 11:00 23:00 10:00 00:00 12:00 22:00
24 48.892890 2.330458 1 13 0 0 5 13 5 9 0 0 4 20 0 0 4 19 0 0 5 13 0 0 0 0 0 0 0 0 0 0 0 0 6 36 12:00 22:00 12:00 22:00 12:00 22:00 12:00 22:00 12:00 23:00 10:00 23:00 12:00 21:00
25 48.888726 2.371022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 14 0 0 0 0 00:00 00:00 00:00 00:00 12:00 23:00 12:00 23:00 12:00 23:00 10:00 23:00 11:00 23:00
26 48.889552 2.339419 0 0 0 0 0 0 0 0 0 0 0 0 11 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 21:00 13:00 21:00 13:00 21:00 13:00 21:00 12:00 22:00 12:00 23:00 12:00 23:00
27 48.837994 2.394822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 14 0 0 0 0 00:00 00:00 13:00 21:00 13:00 21:00 13:00 21:00 11:00 23:00 11:00 00:00 11:00 22:00
28 48.834785 2.345384 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 16 7 38 0 0 0 0 0 0 0 0 00:00 00:00 00:00 00:00 14:00 22:00 14:00 22:00 12:00 22:00 11:00 22:00 11:00 21:00
29 48.861868 2.384540 11 6 0 0 0 0 0 0 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12:00 00:00 12:00 00:00 12:00 00:00 12:00 00:00 12:00 00:00 09:00 00:00 09:00 00:00
30 48.871268 2.396821 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 14 0 0 0 0 0 0 00:00 00:00 00:00 00:00 14:00 21:00 14:00 21:00 13:00 23:00 11:00 22:00 12:00 22:00
31 48.864445 2.357714 0 0 0 0 0 0 2 10 0 0 0 0 0 0 0 0 5 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00:00 00:00 00:00 00:00 14:00 23:00 14:00 23:00 11:00 23:00 11:00 00:00 11:00 22:00
32 48.856360 2.406102 0 0 0 0 3 8 13 5 11 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 00:00 13:00 00:00 13:00 00:00 13:00 00:00 13:00 00:00 08:00 00:00 08:00 00:00
33 48.870961 2.337030 0 0 0 0 0 0 0 0 0 0 2 12 0 0 4 9 0 0 0 0 0 0 0 0 7 22 0 0 0 0 0 0 10 26 00:00 00:00 14:00 22:00 14:00 22:00 14:00 22:00 11:00 22:00 11:00 23:00 11:00 22:00
34 48.843234 2.349667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 17 1 4 0 0 00:00 00:00 00:00 00:00 12:00 21:00 12:00 21:00 12:00 23:00 11:00 23:00 11:00 21:00
35 48.842921 2.286317 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 18 9 26 0 0 0 0 0 0 6 35 14:00 23:00 14:00 23:00 14:00 23:00 14:00 23:00 12:00 23:00 11:00 23:00 11:00 21:00
36 48.824459 2.327765 0 0 0 0 0 0 0 0 0 0 2 14 0 0 4 14 0 0 0 0 10 14 0 0 8 20 0 0 0 0 0 0 8 24 00:00 00:00 00:00 00:00 14:00 23:00 14:00 23:00 11:00 23:00 11:00 23:00 12:00 21:00
37 48.879688 2.338996 0 0 0 0 0 0 2 9 0 0 0 0 0 0 0 0 6 18 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00:00 00:00 00:00 00:00 13:00 22:00 13:00 22:00 11:00 22:00 09:00 00:00 10:00 21:00
38 48.842528 2.265355 1 10 0 0 5 10 6 9 0 0 6 17 0 0 2 20 0 0 4 14 0 0 0 0 0 0 0 0 0 0 0 0 6 42 00:00 00:00 00:00 00:00 14:00 23:00 14:00 23:00 12:00 23:00 10:00 23:00 12:00 22:00
39 48.834439 2.294917 5 10 0 0 0 0 0 0 0 0 1 15 0 0 8 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13:00 22:00 13:00 22:00 13:00 22:00 13:00 22:00 13:00 22:00 11:00 22:00 11:00 22:00
40 48.826031 2.352555 11 10 0 0 0 0 0 0 4 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12:00 23:00 12:00 23:00 12:00 23:00 12:00 23:00 12:00 23:00 09:00 01:00 09:00 23:00
41 48.830738 2.371272 3 10 3 6 5 6 5 5 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14:00 01:00 14:00 01:00 14:00 01:00 14:00 01:00 12:00 01:00 09:00 01:00 09:00 23:00
